School Code,School Code Adjusted,School Name,JCPS School Code,School Name Alternate,Display Name,School Zone,Feeder to High School,Network,Great Schools Rating,Great Schools URL,Enrollment,All Grades Enrollment,All Grades Except Preschool Enrollment,Student Teacher Ratio,Grade,Mathematics - All Students Proficient or Distinguished,Mathematics - Economically Disadvantaged Proficient or Distinguished,Mathematics - Non Economically Disadvantaged Proficient or Distinguished,Reading - All Students Proficient or Distinguished,Reading - Economically Disadvantaged Proficient or Distinguished,Reading - Non Economically Disadvantaged Proficient or Distinguished,Total Ready,Teacher Average Years of Experience,Percent of Teachers With 1-3 Years Experience,Percent of Teachers With Less Than 1 Year Experience,Percent of Teachers with 3 Years or Less of Experience,Total Behavior Events,Alcohol,"Assault, 1st Degree",Drugs,Harassment (Includes Bullying),Other Assault or Violence,Other Events Resulting in State Resolutions,Tobacco,Weapons,Percent_Drugs,Percent_Assault,Percent_Total_Behavior,Total Assault Or Weapons,Attendance Rate,Dropout Rate,Students Whose Parents Attended Teacher Conferences,Parents Voted in SBDM Elections,Parents Who Served on SBDM or Committees,Volunteer Hours Contributed by Parents,School Website Link,School Type,Low Grade,High Grade,Title I Status,Contact Name,Address,Address2,PO Box,City,State,Zipcode,Phone,Fax,Latitude,Longitude,KYReportCard URL,Reside,Choice Zone,Universal Magnet Traditional School,Universal Magnet Traditional Program,Geographical Magnet Traditional,Magnet Programs,The Academies of Louisville,The Academies of Louisville Programs,Explore Pathways,Explore Pathways Programs,Specialized School Choices,Universal Academies or Other,Level,GIS Name,Gifted Talented,PTA Membership Percent,Percent Disciplinary Resolutions,Total Discipline Resolutions,Corporal Punishment (SSP5),Restraint (SSP7),Seclusion (SSP8),"Expelled, Not Receiving Services (SSP2)","Expelled, Receiving Services (SSP1)",In-School Removal (INSR) Or In-District Removal (INDR) >=.5,Out-Of-School Suspensions (SSP3),Removal By Hearing Officer (IAES2),Unilateral Removal By School Personnel (IAES1),Start Time,End Time,School Level,Membership,All Grades With Preschool Membership,All Grades Membership,Preschool Membership,Elementary School Membership,Middle School Membership,High School Membership,White %,African American %,Hispanic %,Asian %,Two or More Races %,Economically Disadvantaged %,Parent Satisfaction,Overall Indicator Rating,Overall Indicator Rating - Color
275175,275175,Alex R. Kennedy Elementary,175,"Kennedy, Alex R., Elementary",Alex R. Kennedy Elementary,Waggener Zone,Waggener High,Network 3,5,https://www.greatschools.org/kentucky/louisville/5212-Alex-R.-Kennedy-Elementary-School/,440,482,440,15:01,Grade 5,32,17,71,39,26,71,61,18.63,5.3,0,5.3,8,0,0,0,*,*,*,0,*,0,0,1.7,0,92.3,,309,43,4,200,https://schools.jefferson.kyschools.us/Elementary/Alex-Kennedy/,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,David Sivori,4515 Taylorsville Rd,,,Louisville,KY,40220,(502) 485-6950,,38.220155,-85.598247,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275175,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,18.4,3.5,0.6,3,0,*,0,0,0,0,*,0,0,9:40 a.m.,4:20 p.m.,Elementary School,365,405,365,40,365,0,0,35.3,26.6,20.3,10.4,6.8,66.4,87.7,2,Orange
275000,275000,All Schools,#N/A,All Schools,All Schools,,,,,,103459,103459,100590,15:01,Grade 10,27,16,48,37,26,57,46,12.76,11.8,4.4,16.2,19276,70,15,1459,2668,1499,17476,1775,465,1.41,1.5,18.6,1979,89.7,2.6,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,#N/A,,#N/A,No,All,,14.7,,13,"13,395",0,629,26,0,0,"7,122","9,911",0,41,,,All,94399,97057,94399,2658,44140,20828,29431,34.5,35.9,18.4,5,5.9,63.9,,2,Orange
275000,2750000,All Schools,#N/A,All Schools,All Schools,,,,,,46233,103459,100590,15:01,Grade 5,30,20,53,36,26,58,46,12.76,11.8,4.4,16.2,19276,70,15,1459,2668,1499,17476,1775,465,1.41,1.5,18.6,1979,89.7,2.6,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,#N/A,,#N/A,No,Elementary School,,14.7,,13,"13,395",0,629,26,0,0,"7,122","9,911",0,41,,,Elementary School,44140,97057,94399,2658,44140,20828,29431,33.6,35,18.9,5.5,6.7,63.9,,2,Orange
275000,2750001,All Schools,#N/A,All Schools,All Schools,,,,,,21959,103459,100590,15:01,Grade 8,24,14,42,28,19,46,46,12.76,11.8,4.4,16.2,19276,70,15,1459,2668,1499,17476,1775,465,1.41,1.5,18.6,1979,89.7,2.6,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,#N/A,,#N/A,No,Middle School,,14.7,,13,"13,395",0,629,26,0,0,"7,122","9,911",0,41,,,Middle School,20828,97057,94399,2658,44140,20828,29431,33.6,36.7,18.7,5,5.8,63.9,,2,Orange
275000,2750002,All Schools,#N/A,All Schools,All Schools,,,,,,32398,103459,100590,15:01,Grade 10,27,16,48,37,26,57,46,12.76,11.8,4.4,16.2,19276,70,15,1459,2668,1499,17476,1775,465,1.41,1.5,18.6,1979,89.7,2.6,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,#N/A,,#N/A,No,High School,,14.7,,13,"13,395",0,629,26,0,0,"7,122","9,911",0,41,,,High School,29431,97057,94399,2658,44140,20828,29431,36.4,36.8,17.3,4.4,4.9,63.9,,2,Orange
275018,275018,Atherton High,18,Atherton High,Atherton High,Atherton Zone,Atherton High,Network 3,7,https://www.greatschools.org/kentucky/louisville/710-Atherton-High-School/,1571,1571,1571,18:01,Grade 10,57,38,73,64,45,80,,17.96,2.4,1.2,3.6,369,5,0,42,22,17,345,12,*,2.67,1.1,23.5,17,89.7,1.7,100,108,4,2000,https://schools.jefferson.kyschools.us/high/atherton/,A1,9th,12th,Title 1 Eligible - No Program,Stephanie Fluhr,3000 Dundee Road,,,Louisville,KY,40205,(502) 485-8202,(502) 485-8985,38.213731,-85.689399,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275018,Yes,No,No,Yes,No,International Studies/International Baccalaureate,Yes,Freshman Academy; Engineering Academy; Health Science Academy; Media Arts Academy,#N/A,,No,No,High School,ATHERTON,31.4,0,13.9,218,0,5,0,0,0,163,117,0,*,7:30 a.m.,2:10 p.m.,High School,1477,1477,1477,0,0,0,1477,62.5,19.8,8.5,3.9,5.3,40.7,76.8,5,Blue
275185,275185,Atkinson Academy,185,Atkinson Academy,Atkinson Academy,Eastern Zone,Eastern High,Network 3,3,https://www.greatschools.org/kentucky/louisville/793-Atkinson-Academy/,483,483,483,12:01,Grade 5,*,*,*,21,20,*,25,10.74,37,0,37,71,0,0,5,10,7,59,6,4,1.04,1.4,14.7,11,88.4,,426,0,0,0,n/a,A1,K,5th,Title 1 Eligible - Schoolwide School,Arivia Parks,2811 Duncan Street,,,Louisville,KY,40212,(502) 485-8203,(502) 313-3408,38.265194,-85.797316,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275185,Yes,Yes,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,16.8,0,11.2,54,0,12,0,0,0,33,27,0,0,9:40 a.m.,4:20 p.m.,Elementary School,416,416,416,0,416,0,0,21.4,68,4.1,0,6.5,88.8,91.3,1,Red
275127,275127,Auburndale Elementary,127,Auburndale Elementary,Auburndale Elementary,Fairdale Zone,Fairdale High,Network 1,2,https://www.greatschools.org/kentucky/louisville/772-Auburndale-Elementary-School/,599,636,599,15:01,Grade 5,20,20,*,20,19,*,39,10.37,40,0,40,18,0,0,0,*,0,17,0,*,0,0,2.8,0,92.6,,448,0,2,60,https://auburndale.jcps-ky.com,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,Karen Topping,5749 New Cut Road,,,Louisville,KY,40214,(502) 485-8204,(502) 313-3409,38.134863,-85.771363,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275127,Yes,No,No,No,No,,#N/A,,#N/A,,No,No,Elementary School,,7.2,0,1.4,9,0,4,0,0,0,*,6,0,0,7:30 a.m.,2:10 p.m.,Elementary School,559,593,559,34,559,0,0,28.1,23.4,31.5,11.6,5.4,86.8,86.6,2,Orange
275044,275044,Audubon Traditional Elementary,44,Audubon Traditional Elementary,Audubon Traditional Elementary,Magnet,Magnet Schools,Magnet,7,https://www.greatschools.org/kentucky/louisville/718-Audubon-Traditional-Elementary-School/,632,632,632,18:01,Grade 5,51,47,54,55,49,59,71,15.48,6.1,6.1,12.2,6,0,0,0,0,0,5,0,*,0,0,0.9,0,95.5,,392,60,2,500,https://sites.google.com/jefferson.kyschools.us/audubon-traditional-elementary/home,A1,K,5th,Title 1 Eligible - No Program,Erika Walker,1051 Hess Lane,,,Louisville,KY,40217,(502) 485-8205,(502) 313-3410,38.207935,-85.731189,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275044,No,No,No,No,Yes,Traditional,#N/A,,#N/A,,No,No,Elementary School,AUDUBON,5.3,74.4,0.6,4,0,*,0,0,0,0,3,0,0,8:40 a.m.,3:20 p.m.,Elementary School,623,623,623,0,623,0,0,44.8,35,5.1,6.7,7.9,46,77.2,3,Yellow
275105,275105,Ballard High,105,Ballard High,Ballard High,Ballard Zone,Ballard High,Network 3,7,https://www.greatschools.org/kentucky/louisville/761-Ballard-High-School/,2201,2201,2201,19:01,Grade 10,49,25,63,54,28,69,,14.78,3.5,0,3.5,400,7,0,54,18,20,358,45,0,2.45,0.9,18.2,20,89.6,1.3,997,3,3,1085,https://sites.google.com/jefferson.kyschools.us/ballardhighschool/home,A1,9th,12th,Title 1 Eligible - No Program,Dr. Jason Neuss,6000 Brownsboro Road,,,Louisville,KY,40222,(502) 485-8206,(502) 485-8856,38.283285,-85.6247,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275105,Yes,No,No,No,No,,Yes,Freshman Academy; Business Services Academy; Media Arts Academy; STEM Academy ,#N/A,,No,No,High School,BALLARD,21.4,3.7,11.6,256,0,6,0,0,0,101,229,0,0,8:40 a.m.,3:20 p.m.,High School,2054,2054,2054,0,0,0,2054,51.9,25.4,10.2,5.6,6.6,37.7,69.6,3,Yellow
