School Code,School Code Adjusted,School Name,Great Schools Rating,Great Schools URL,
275175,275175,Alex R. Kennedy Elementary,6,https://www.greatschools.org/kentucky/louisville/5212-Alex-R.-Kennedy-Elementary-School/,https://www.greatschools.org/kentucky/louisville/5212-Alex-R.-Kennedy-Elementary-School/
275018,275018,Atherton High,8,https://www.greatschools.org/kentucky/louisville/710-Atherton-High-School/,https://www.greatschools.org/kentucky/louisville/710-Atherton-High-School/
275185,275185,Atkinson Academy,3,https://www.greatschools.org/kentucky/louisville/793-Atkinson-Academy/,https://www.greatschools.org/kentucky/louisville/793-Atkinson-Academy/
275127,275127,Auburndale Elementary,3,https://www.greatschools.org/kentucky/louisville/772-Auburndale-Elementary-School/,https://www.greatschools.org/kentucky/louisville/772-Auburndale-Elementary-School/
275044,275044,Audubon Traditional Elementary,7,https://www.greatschools.org/kentucky/louisville/718-Audubon-Traditional-Elementary-School/,https://www.greatschools.org/kentucky/louisville/718-Audubon-Traditional-Elementary-School/
275105,275105,Ballard High,8,https://www.greatschools.org/kentucky/louisville/761-Ballard-High-School/,https://www.greatschools.org/kentucky/louisville/761-Ballard-High-School/
275040,275040,Barret Traditional Middle,8,https://www.greatschools.org/kentucky/louisville/716-Barret-Traditional-Middle-School/,https://www.greatschools.org/kentucky/louisville/716-Barret-Traditional-Middle-School/
275055,275055,Bates Elementary,8,https://www.greatschools.org/kentucky/louisville/723-Bates-Elementary-School/,https://www.greatschools.org/kentucky/louisville/723-Bates-Elementary-School/
275149,275149,Blake Elementary,3,https://www.greatschools.org/kentucky/louisville/781-Blake-Elementary-School/,https://www.greatschools.org/kentucky/louisville/781-Blake-Elementary-School/
275225,275225,Bloom Elementary,7,https://www.greatschools.org/kentucky/louisville/795-Bloom-Elementary-School/,https://www.greatschools.org/kentucky/louisville/795-Bloom-Elementary-School/
275091,275091,Blue Lick Elementary,4,https://www.greatschools.org/kentucky/louisville/750-Blue-Lick-Elementary-School/,https://www.greatschools.org/kentucky/louisville/750-Blue-Lick-Elementary-School/
275094,275094,Bowen Elementary,7,https://www.greatschools.org/kentucky/louisville/752-Bowen-Elementary-School/,https://www.greatschools.org/kentucky/louisville/752-Bowen-Elementary-School/
275260,275260,Brandeis Elementary,6,https://www.greatschools.org/kentucky/louisville/799-Brandeis-Elementary-School/,https://www.greatschools.org/kentucky/louisville/799-Brandeis-Elementary-School/
275038,275038,Breckinridge,3,https://www.greatschools.org/kentucky/louisville/1905-Breckinridge-Franklin-Elementary-School/,https://www.greatschools.org/kentucky/louisville/1905-Breckinridge-Franklin-Elementary-School/
275045,275045,Butler Traditional High,4,https://www.greatschools.org/kentucky/louisville/719-Butler-Traditional-High-School/,https://www.greatschools.org/kentucky/louisville/719-Butler-Traditional-High-School/
