School Code Adjusted,School Name,Phone,Start Time,End Time,Type,Notes,Level,Registration link
275175,Alex R. Kennedy Elementary,(502) 485-6950,,,School Tour,Tours are 11:00 AM-2:00 PM,Elementary,
275185,Atkinson Elementary,(502) 485-8203,,,School Tour,Tours are 9:40-11:00 AM,Elementary,
275127,Auburndale Elementary,(502) 485-8204,,,School Tour,Tours are 8:00-9:00 AM,Elementary,
275044,Audubon Traditional Elementary,,11/5/2025 10:30 AM,11/5/2025 11:30 AM,School Tour,,Elementary,
275044,Audubon Traditional Elementary,,11/11/2025 5:30 PM,11/11/2025 6:30 PM,School Tour,,Elementary,
275044,Audubon Traditional Elementary,,11/12/2025 10:30 AM,11/12/2025 11:30 AM,School Tour,,Elementary,
275044,Audubon Traditional Elementary,,11/19/2025 10:30 AM,11/19/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,10/16/2025 10:30 AM,10/16/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,10/16/2025 1:30 PM,10/16/2025 2:30 PM,School Tour,,Elementary,
275055,Bates Elementary,,10/23/2025 10:30 AM,10/23/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,10/23/2025 1:30 PM,10/23/2025 2:30 PM,School Tour,,Elementary,
275055,Bates Elementary,,10/30/2025 10:30 AM,10/30/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,10/30/2025 1:30 PM,10/30/2025 2:30 PM,School Tour,,Elementary,
275055,Bates Elementary,,11/6/2025 10:30 AM,11/6/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,11/6/2025 1:30 PM,11/6/2025 2:30 PM,School Tour,,Elementary,
275055,Bates Elementary,,11/13/2025 10:30 AM,11/13/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,11/13/2025 1:30 PM,11/13/2025 2:30 PM,School Tour,,Elementary,
275055,Bates Elementary,,11/20/2025 10:30 AM,11/20/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,11/20/2025 1:30 PM,11/20/2025 2:30 PM,School Tour,,Elementary,
275055,Bates Elementary,,12/4/2025 10:30 AM,12/4/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,12/4/2025 1:30 PM,12/4/2025 2:30 PM,School Tour,,Elementary,
275055,Bates Elementary,,12/11/2025 10:30 AM,12/11/2025 11:30 AM,School Tour,,Elementary,
275055,Bates Elementary,,12/11/2025 1:30 PM,12/11/2025 2:30 PM,School Tour,,Elementary,
275149,Blake Elementary,(502) 485-8210,,,School Tour,Tours are 7:30-9:30 AM,Elementary,
275225,Bloom Elementary,,11/3/2025 2:00 PM,,School Tour,,Elementary,
275091,Blue Lick Elementary,(502) 485-8212,,,School Tour,,Elementary,
275094,Bowen Elementary,(502) 485-8213,,,School Tour,Tours are 11:00 AM-2:00 PM,Elementary,
275260,Brandeis Elementary,,10/29/2025 10:00 AM,10/29/2025 11:00 AM,School Tour,,Elementary,
275260,Brandeis Elementary,,10/29/2025 12:00 PM,10/29/2025 1:00 PM,School Tour,,Elementary,
275260,Brandeis Elementary,,11/5/2025 10:00 AM,11/5/2025 11:00 AM,School Tour,,Elementary,
275260,Brandeis Elementary,,11/5/2025 12:00 PM,11/5/2025 1:00 PM,School Tour,,Elementary,
275260,Brandeis Elementary,,11/12/2025 10:00 AM,11/12/2025 11:00 AM,School Tour,,Elementary,
275260,Brandeis Elementary,,11/12/2025 12:00 PM,11/12/2025 1:00 PM,School Tour,,Elementary,
275260,Brandeis Elementary,,11/19/2025 10:00 AM,11/19/2025 11:00 AM,School Tour,,Elementary,
275260,Brandeis Elementary,,11/19/2025 12:00 PM,11/19/2025 1:00 PM,School Tour,,Elementary,
275260,Brandeis Elementary,,12/3/2025 10:00 AM,12/3/2025 11:00 AM,School Tour,,Elementary,
275260,Brandeis Elementary,,12/3/2025 12:00 PM,12/3/2025 1:00 PM,School Tour,,Elementary,
275260,Brandeis Elementary,,12/10/2025 10:00 AM,12/10/2025 11:00 AM,School Tour,,Elementary,
275260,Brandeis Elementary,,12/10/2025 12:00 PM,12/10/2025 1:00 PM,School Tour,,Elementary,
275260,Brandeis Elementary,,12/17/2025 10:00 AM,12/17/2025 11:00 AM,School Tour,,Elementary,
275260,Brandeis Elementary,,12/17/2025 12:00 PM,12/17/2025 1:00 PM,School Tour,,Elementary,
275038,Breckinridge-Franklin,(502) 485-8215,,,School Tour,Tours are 10:00 AM-3:00 PM and 4:45-5:15 PM,Elementary,
275243,Byck Elementary,(502) 485-8221,,,School Tour,Tours are 10:30 AM-2:00 PM,Elementary,
275004,Camp Taylor Elementary,(502)485-8222,,,School Tour,Tours are 8:00 AM - 1:00 PM,Elementary,
275005,Cane Run Elementary,(502) 485-8223,,,School Tour,,Elementary,
275680,Carter Traditional Elementary,(502) 485-8225,,,School Tour,,Elementary,
275102,Chancey Elementary,,10/8/2025 8:30 AM,,School Tour,,Elementary,
275102,Chancey Elementary,,10/15/2025 8:30 AM,,School Tour,,Elementary,
275102,Chancey Elementary,,10/22/2025 8:30 AM,,School Tour,,Elementary,
275102,Chancey Elementary,,10/29/2025 8:30 AM,,School Tour,,Elementary,
275046,Chenoweth Elementary,,10/29/2025 10:00 AM,10/29/2025 11:00 AM,School Tour,,Elementary,
275046,Chenoweth Elementary,,11/5/2025 10:00 AM,11/5/2025 11:00 AM,School Tour,,Elementary,
275046,Chenoweth Elementary,,11/12/2025 10:00 AM,11/12/2025 11:00 AM,School Tour,,Elementary,
275323,Cochran Elementary,(502) 485-8230,,,School Tour,,Elementary,
275083,Cochrane Elementary,,11/4/2025 2:45 PM,,School Tour,,Elementary,
275660,Coleridge-Taylor,,10/15/2025 10:00 AM,,School Tour,,Elementary,
275660,Coleridge-Taylor,,10/22/2025 10:00 AM,,School Tour,,Elementary,
275660,Coleridge-Taylor,,10/29/2025 10:00 AM,,School Tour,,Elementary,
275660,Coleridge-Taylor,,11/5/2025 10:00 AM,,School Tour,,Elementary,
275660,Coleridge-Taylor,,11/12/2025 10:00 AM,,School Tour,,Elementary,
275660,Coleridge-Taylor,,11/19/2025 10:00 AM,,School Tour,,Elementary,
275660,Coleridge-Taylor,,11/26/2025 10:00 AM,,School Tour,,Elementary,
