School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Teacher Count,Total New Teachers With 1 3 Years Experience,Percent Of Teachers With 1 3 Years Experience,Total New Teachers With Less Than 1 Year Experience,Percent Of Teachers With Less Than 1 Year Experience
20232024,,,999,All Districts,,All Schools,999000,,,,,,40598,"6,291",15.50,"2,339",5.80
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,168,28,16.70,8,4.80
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,55,6,10.90,2,3.60
20232024,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,A6,4,0,0.00,0,0.00
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,38,9,23.70,1,2.60
20232024,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,A1,34,3,8.80,2,5.90
20232024,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,A1,37,10,27.00,3,8.10
20232024,002,ALLEN,005,Allen County,,All Schools,005000,,,GRREC,902,,159,25,15.70,10,6.30
20232024,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,A1,50,10,20.00,4,8.00
20232024,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,A1,26,3,11.50,2,7.70
20232024,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,A1,53,7,13.20,4,7.50
20232024,002,ALLEN,005,Allen County,025,Patriot Academy,005025,002005025,210007002535,GRREC,902,A5,4,0,0.00,0,0.00
20232024,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,A1,26,5,19.20,0,0.00
20232024,056,JEFFERSON,006,Anchorage Independent,,All Schools,006000,,,OVEC,906,,36,1,2.80,1,2.80
20232024,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,A1,36,1,2.80,1,2.80
20232024,003,ANDERSON,011,Anderson County,,All Schools,011000,,,CKEC,901,,199,36,18.10,16,8.00
20232024,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,A1,69,9,13.00,3,4.30
20232024,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,A1,26,7,26.90,0,0.00
20232024,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,A1,42,7,16.70,5,11.90
20232024,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,A1,23,6,26.10,4,17.40
20232024,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,A1,23,3,13.00,2,8.70
20232024,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,A1,16,4,25.00,2,12.50
20232024,010,BOYD,012,Ashland Independent,,All Schools,012000,,,KEDC,903,,215,38,17.70,15,7.00
20232024,010,BOYD,012,Ashland Independent,005,Ashland Alternative School,012005,010012005,210015002487,KEDC,903,A5,2,0,0.00,0,0.00
20232024,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,A1,62,9,14.50,1,1.60
20232024,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,KEDC,903,A4,10,2,20.00,3,30.00
20232024,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,A1,50,8,16.00,7,14.00
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,KEDC,903,A1,19,4,21.10,1,5.30
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,KEDC,903,A1,20,6,30.00,2,10.00
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,KEDC,903,A1,17,2,11.80,1,5.90
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,KEDC,903,A1,17,4,23.50,0,0.00
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,KEDC,903,A1,18,3,16.70,0,0.00
20232024,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,,KEDC,903,,25,3,12.00,2,8.00
20232024,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,A1,25,3,12.00,2,8.00
20232024,004,BALLARD,015,Ballard County,,All Schools,015000,,,WKEC,908,,77,12,15.60,4,5.20
20232024,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,WKEC,908,A1,21,3,14.30,0,0.00
20232024,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,A1,23,3,13.00,1,4.30
20232024,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,A1,28,4,14.30,3,10.70
20232024,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,WKEC,908,A4,5,2,40.00,0,0.00
20232024,061,KNOX,016,Barbourville Independent,,All Schools,016000,,,SESC,907,,43,7,16.30,0,0.00
20232024,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,A1,42,7,16.70,0,0.00
20232024,061,KNOX,016,Barbourville Independent,015,Barbourville Learning Center,016015,061016015,210024002542,SESC,907,A5,1,0,0.00,0,0.00
20232024,090,NELSON,017,Bardstown Independent,,All Schools,017000,,,CKEC,901,,182,20,11.00,5,2.70
20232024,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,CKEC,901,A5,9,0,0.00,0,0.00
20232024,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,CKEC,901,A4,11,2,18.20,1,9.10
20232024,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,A1,44,5,11.40,0,0.00
20232024,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,A1,21,4,19.00,0,0.00
20232024,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,A1,58,5,8.60,3,5.20
20232024,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,A1,39,4,10.30,1,2.60
20232024,005,BARREN,021,Barren County,,All Schools,021000,,,GRREC,902,,318,60,18.90,18,5.70
20232024,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,A1,15,6,40.00,0,0.00
20232024,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,GRREC,902,A5,9,0,0.00,0,0.00
20232024,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,GRREC,902,A8,28,3,10.70,0,0.00
20232024,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,A1,28,6,21.40,2,7.10
20232024,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,A1,84,19,22.60,7,8.30
20232024,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,A1,26,5,19.20,0,0.00
20232024,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,A1,40,3,7.50,5,12.50
20232024,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,A1,16,2,12.50,1,6.30
20232024,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,A1,20,5,25.00,3,15.00
20232024,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,A1,35,7,20.00,0,0.00
20232024,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,A1,17,4,23.50,0,0.00
20232024,006,BATH,025,Bath County,,All Schools,025000,,,KEDC,903,,120,18,15.00,10,8.30
20232024,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,KEDC,903,A5,2,0,0.00,1,50.00
20232024,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,A1,24,4,16.70,1,4.20
20232024,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,A1,24,4,16.70,3,12.50
20232024,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,A1,29,6,20.70,2,6.90
