SchoolName,StreetAddress,Latitude,Longitude
Camp Taylor Elementary,"1446 Belmar Dr, Louisville, KY, 40213",38.196553,-85.719415
Cane Run Elementary,"3951 Cane Run Rd, Louisville, KY, 40211",38.209519,-85.822595
Eastern High,"12400 Old Shelbyville Rd, Middletown, KY, 40243",38.243661,-85.526094
Fairdale Elementary,"10104 Mitchell Hill Road, Fairdale, KY, 40118",38.104986,-85.762138
Fern Creek Elementary,"8815 Ferndale Rd, Louisville, KY, 40291",38.156609,-85.595173
Fern Creek High,"9115 Fern Creek Road, Louisville, KY, 40291",38.156027,-85.592114
Greathouse/Shryock Traditional,"2700 Browns Lane, Louisville, KY, 40220",38.225977,-85.622397
Greenwood Elementary,"5801 Greenwood Road, Louisville, KY, 40258",38.145253,-85.861105
Tully Elementary,"3300 College Drive, Louisville, KY, 40299",38.196302,-85.571193
Atherton High,"3000 Dundee Road, Louisville, KY, 40205",38.213731,-85.689399
The Brook-Dupont,"1405 Browns Ln, Louisville, KY, 40207",38.2354348,-85.627894
The Brook-KMI,"8521 LaGrange Rd, Louisville, KY, 40242",38.2722889,-85.596436
Medora Elementary,"11801 Deering Road, Louisville, KY, 40272",38.090422,-85.874912
Middletown Elementary,"218 North Madison Avenue, Louisville, KY, 40243",38.248481,-85.54139
Okolona Elementary,"7606 Preston Highway, Louisville, KY, 40219",38.140835,-85.689584
Boys & Girls Haven,"2301 Goldsmith Ln, Louisville, KY, 40218",38.211191,-85.669221
St Joseph Children's Home,"2823 Frankfort Ave, Louisville, KY, 40206",38.2560998,-85.689674
Liberty High,"1281 Gilmore Lane, Louisville, KY, 40213",38.17964,-85.705758
Southern High,"8620 Preston Highway, Louisville, KY, 40219",38.12671,-85.680982
Valley High,"10200 Dixie Highway, Louisville, KY, 40272",38.107709,-85.867731
Waller-Williams Environmental,"2415 Rockford Lane, Louisville, KY, 40216",38.177505,-85.843165
Dawson Orman Education Center,"900 S Floyd St, Louisville, KY, 40203",38.240027,-85.750808
Breckinridge-Franklin Elementary,"1351 Payne St., Louisville, KY, 40206",38.249314,-85.723794
Barret Traditional Middle,"2561 Grinstead Drive, Louisville, KY, 40206",38.249299,-85.695926
Newburg Middle,"4901 Exeter Avenue, Louisville, KY, 40218",38.18011,-85.668644
Audubon Traditional Elementary,"1051 Hess Lane, Louisville, KY, 40217",38.207935,-85.731189
Butler Traditional High,"2222 Crums Lane, Louisville, KY, 40216",38.193853,-85.815409
Chenoweth Elementary,"3622 Brownsboro Road, Louisville, KY, 40207",38.263128,-85.668975
Louisville Male High,"4409 Preston Highway, Louisville, KY, 40213",38.184683,-85.721019
Hawthorne Elementary,"2301 Clarendon Ave, Louisville, KY, 40205",38.218073,-85.671559
Farnsley Middle,"3400 Lees Lane, Louisville, KY, 40216",38.18472,-85.857808
Georgia Chaffee Teenage Parent Program,"1010 Neighborhood Pl, Fairdale, KY, 40118",38.116049,-85.748735
Waggener High,"330 S. Hubbards Lane, Louisville, KY, 40207",38.244651,-85.636854
Bates Elementary,"7601 Bardstown Road, Louisville, KY, 40291",38.137156,-85.578923
Fairdale High,"1001 Fairdale Road, Fairdale, KY, 40118",38.111982,-85.751208
Kenwood Elementary,"7420 Justan Ave, Louisville, KY, 40214",38.145533,-85.78682
Coral Ridge Elementary,"10608 National Turnpike, Fairdale, KY, 40118",38.095167,-85.738829
Goldsmith Elementary,"3520 Goldsmith Lane, Louisville, KY, 40220",38.208169,-85.654353
Schaffner Traditional Elementary,"2701 Crums Lane, Louisville, KY, 40216",38.195703,-85.824372
St Matthews Elementary,"601 Browns Lane, Louisville, KY, 40207",38.245714,-85.640896
Jeffersontown High,"9600 Old Six Mile Lane, Jeffersontown, KY, 40299",38.201366,-85.580854
Wilkerson Elementary School,"5601 Johnsontown Road, Louisville, KY, 40272",38.122531,-85.87392
Wilder Elementary,"1913 Herr Lane, Louisville, KY, 40222",38.278926,-85.622271
DuValle Education Center,"3610 Bohne Ave, Louisville, KY, 40211",38.228259,-85.814747
Stonestreet Elementary,"10007 Stonestreet Road, Louisville, KY, 40272",38.108966,-85.834733
Watterson Elementary,"3900 Breckinridge Lane, Louisville, KY, 40218",38.191282,-85.626941
Seneca High,"3510 Goldsmith Lane, Louisville, KY, 40220",38.207742,-85.65485
Pleasure Ridge Park High,"5901 Greenwood Road, Louisville, KY, 40258",38.14571,-85.863694
Indian Trail Elementary,"3709 E Indian Tr, Louisville, KY, 40213",38.171026,-85.690741
Westport Middle,"8100 Westport Road, Louisville, KY, 40222",38.275798,-85.600769
Zachary Taylor Elementary,"9620 Westport Road, Louisville, KY, 40241",38.286632,-85.572853
