School Code,School Code Adjusted,School Name,KYReportCard URL
275590,275590,The Academy @ Shawnee,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275590
275018,275018,Atherton High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275018
275185,275185,Atkinson Academy,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275185
275127,275127,Auburndale Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275127
275044,275044,Audubon Traditional Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275044
275105,275105,Ballard High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275105
275040,275040,Barret Traditional Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275040
275055,275055,Bates Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275055
275149,275149,Blake Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275149
275225,275225,Bloom Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275225
275091,275091,Blue Lick Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275091
275094,275094,Bowen Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275094
275260,275260,Brandeis Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275260
275038,275038,Breckinridge,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275038
275165,275165,J. Graham Brown School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275165
275045,275045,Butler Traditional High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275045
275243,275243,Byck Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275243
275004,275004,Camp Taylor Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275004
275005,275005,Cane Run Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275005
275167,275167,Carrithers Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275167
275680,275680,Carter Traditional Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275680
275179,275179,Central High Magnet Career Academy,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275179
275102,275102,Chancey Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275102
275046,275046,Chenoweth Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275046
275083,275083,Cochrane Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275083
275660,275660,Coleridge,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275660
275164,275164,Conway Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275164
275060,275060,Coral Ridge Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275060
275119,275119,Crosby Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275119
275092,275092,Crums Lane Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275092
275082,275082,Dixie Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275082
275100,275100,Doss High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275100
275191,275191,W.E.B. DuBois Academy,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275191
275156,275156,Dunn Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275156
275200,275200,duPont Manual High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275200
275007,275007,Eastern High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275007
275131,275131,Eisenhower Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275131
275240,275240,Engelhard Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275240
275010,275010,Fairdale Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275010
275057,275057,Fairdale High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275057
275212,275212,Farmer Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275212
